id,created,modified,account,city_name,census_number,rate,county_code,exemption_limit,discount_limit,discount,discount_type,message_for_rules_not_used_in_calculations,discount_hakka_text,exemption_hakka_text
6214,2021-11-04 14:44:34,2022-03-08 09:28:11,9687,Pálfiszeg,2014720,2.0,20,,,,,,# A benyújtott bevallás alapján.,
4553,2021-11-04 14:44:34,2022-03-08 09:26:07,8215,Tiszanána,1007083,1.0,10,,,,,,,
6178,2021-11-04 14:44:34,2022-03-08 09:24:41,9660,Milejszeg,2002662,2.0,20,,,,,,# A benyújtott bevallás alapján.,
6090,2021-11-04 14:44:34,2022-03-08 09:22:55,9588,Csonkahegyhát,2031149,2.0,20,,,,,,# A benyújtott bevallás alapján.,
6238,2021-11-04 14:44:34,2022-02-07 13:53:56,19833,Semjénháza,2030997,0.0,20,,,,,,,
5282,2021-11-04 14:44:34,2022-02-07 13:48:13,8869,Komlódtótfalu,1522336,2.0,15,2500000.0,,,,,,
4084,2021-11-04 14:44:34,2022-02-07 13:46:52,7775,Bodmér,711624,0.4,7,250000.0,,,,,# számított adóalapja a 250000 Ft-ot nem haladja meg,
4151,2021-11-04 14:44:34,2022-01-06 20:49:49,7841,Sárkeresztúr,725344,2.0,7,250000.0,,,,,,"# Mentes az adó alól az a vállalkozó, akinek a Htv. 39. §. (1) bekezdés, 39/A. §. és a 39/B. §. szerinti számított adóalapja nem haladja meg a 250.000 Ft-ot."
5308,2021-11-04 14:44:34,2022-01-06 20:41:26,8892,Nagyhalász,1527155,1.5,15,2500000.0,,,,,"# Az éves vállalkozói szintű adóalap nem haladja meg a 2,5 milló forintot.",
3728,2021-11-04 14:44:34,2022-01-06 14:35:00,7450,Égerszög,513356,0.5,5,2500000.0,,,,,,
5427,2021-11-04 14:44:34,2022-01-06 14:30:37,8991,Vásárosnamény,1518324,1.8,15,,,,,,,
3953,2021-11-04 14:44:34,2022-01-06 14:01:57,7653,Szőlősardó,507889,1.2,5,2500000.0,,,,,,
3908,2021-11-04 14:44:34,2022-01-06 14:00:55,7610,Sajókápolna,521670,1.75,5,,,,,,,
3886,2021-11-04 14:44:34,2022-01-06 13:58:45,7589,Perkupa,533419,1.5,5,,,,,,,# Aki a Htv.39/C.§ (3) bekezdés és 52.§ 23. pontjában meghatározott feltételeknek megfelel.
4891,2021-11-04 14:44:34,2021-12-08 10:59:41,8527,Ráckeve,1317260,2.0,13,300000.0,,,,,,"# Mentességet élvez az iparűzési adó alól az a vállalkozó, akinek a Htv. 39. § (1) bekezdés, illetőleg a 39/A. § vagy 39/B. § alapján számított (vállalkozási szintű) adóalapja nem haladja meg a 300.000 forintot"
4774,2021-11-04 14:44:34,2021-12-08 10:51:36,8419,Alsónémedi,1323199,1.9,13,750000.0,,,,,,# Vállalkozási adóalapot # Nyilatkozat
6267,2021-11-04 14:44:34,2021-11-17 10:37:11,20414,Vállus,2010685,2.0,20,,,,,,,
6119,2021-11-04 14:44:34,2021-11-17 10:36:31,20413,Gyenesdiás,2023302,2.0,20,,,,,,,
5796,2021-11-04 14:44:34,2021-11-17 10:35:07,20412,Szakonyfalu,1820932,1.4,18,,,,,,,
5621,2021-11-04 14:44:34,2021-11-17 10:32:03,20411,Alsószölnök,1822549,1.4,18,,,,,,,
3382,2021-11-04 14:44:34,2021-11-17 10:31:16,20410,Regenye,225292,1.0,2,,,,,,,
3355,2021-11-04 14:44:34,2021-11-17 10:30:14,20409,Ócsárd,203780,2.0,2,,,,,,,
5457,2021-11-04 14:44:34,2021-11-17 10:29:22,20408,Jászszentandrás,1613514,1.5,16,,,,,,,
5453,2021-11-04 14:44:34,2021-11-17 10:28:33,20407,Jászivány,1624086,1.5,16,,,,,,,
5183,2021-11-04 14:44:34,2021-11-17 10:26:42,20406,Tikos,1417844,2.0,14,,,,,,,
5030,2021-11-04 14:44:34,2021-11-17 10:26:07,20405,Hollád,1406211,2.0,14,,,,,,,
6175,2021-11-04 14:44:34,2021-11-17 10:22:10,20404,Miháld,2027526,2.0,20,,,,,,,
6085,2021-11-04 14:44:34,2021-11-17 10:21:25,20403,Csapi,2006132,2.0,20,300000.0,,,,,,
4362,2021-11-04 14:44:34,2021-11-16 17:33:24,20402,Ártánd,903319,2.0,9,,,,,,,
4371,2021-11-04 14:44:34,2021-11-16 17:32:22,20401,Biharkeresztes,919956,2.0,9,,,,,,,
